Sentence,Tense,Verb
no that truck isn't broken,1,isn't
standing on the fireman's truck,0,None
that's not a fire truck,1,s
careful Adam,0,None
wheel,0,None
just like what,0,None
two what,0,None
Daddy,0,None
where's Daddy,1,s
right there,0,None
well who's that,1,s
Mommy,0,None
oh you fell down again,2,fell
you're going to ride that,3,re going to
ride that if you wanna,1,ride
if you wanna,1,wanna
what's that it's got on,1,s
where,0,None
that's his nose,1,s
huh,0,None
what,0,None
parading bag,0,None
what,0,None
don't sit on Mr Cromer's briefcase,1,don't
show you a bag,1,show
what kind of bag,0,None
is that part of the song,1,is
I don't know,1,don't
a what,0,None
you aren't saying parade are you,1,aren't
after supper,0,None
you're missing,1,re
you hit the trash can,2,hit
yeah,0,None
where's the other part,1,s
messed it all up,2,messed
that's right,1,s
Adam do you remember seeing a parade,1,do
oh you remember seeing a football game,1,remember
what about a parade,0,None
that's Riverside Church in New York,1,s
seals,0,None
what kind of seals,0,None
Riverside Church,0,None
Riverside Church,0,None
what do you mean seal,1,do
seal,0,None
what does a seal look like,1,doesn't
cat,0,None
you don't sit on Mr Cromer's briefcase,1,don't
Popeye what,0,None
waffle,0,None
waffle walking,0,None
what would poor Mr Cromer do for something to take his books in,1,would
you would hafta give him your wagon,1,would
be careful,1,be
that's over at the high school,1,s
you fell down where,2,fell
you fell off what,2,fell
you fell off what,2,fell
you fell down,2,fell
what were you riding when you fell down,2,were
when you fell down,2,fell
no that's his pen,1,s
alright you write,1,write
on your side,0,None
a what,0,None
walker,0,None
like little Ricky's walker,0,None
maybe that's a baby walker,1,s
did you hurt yourself,2,did
Adam hurt himself,2,hurt
what are you doing in there,1,are
he doesn't have a pocket does he,1,doesn't
you give it to him and let him put it in his own pocket,1,give
let him put it in his own pocket,1,let
you hafta take them out first,1,hafta
Adam you've got dirty hands,1,ve
what did you do to your hands,2,did
that's his eyebrow,1,s
Adam has a nose,1,has
eye,0,None
what have you got in there,1,have
what do you have in there,1,do
apple what,0,None
oh afterwards,0,None
was that other word afterwards,2,was
no you can't play with the flashlight,1,can't
Daddy's flashlight,0,None
what is that,1,is
whose boot is that,1,is
Adam's,0,None
you fell down getting your boot,2,fell
you're sleepy,1,re
wake up Adam,1,wake
you're laughing,1,re
what are you laughing about,1,are
what are you laughing about,1,are
you put it on by yourself,1,put
no you come over here,1,come
don't push the microphone,1,don't
next to Adam,0,None
you put it on by yourself,1,put
that's your boot,1,s
what happened,2,happened
how did you hurt your head,2,did
Adam did,2,did
how did Adam hurt his head,2,did
no that wasn't Daddy's car,2,wasn't
oh he can't bite you,1,can't
what do you mean,1,do
that's his tongue,1,s
I think this is called a bit,1,is
bless you,1,bless
he won't bite,3,won't
he's a nice little horse,1,s
that's his nose,1,s
pretty,0,None
he has a nose too,1,has
horsie has a nose too,1,has
pig has a ribbon on,1,has
what are you looking for,1,are
we dropped it,2,dropped
you wanna ride the truck,1,wanna
why don't you ride your fire truck for a little while,1,don't
you haven't see it for a long time,1,haven't
it's too big,1,s
you wanna ride that,1,wanna
Adam will you say excuse me please,3,will
try it now,1,try
I just closed the door,2,closed
no you don't want it open,1,don't
oh how can you get your hand out,1,can
little horse,0,None
look at the horse,1,look
go in,1,go
I don't wanna ride in the back of the truck,1,don't
oh you're skating,1,re
what's the matter,1,s
sit on the front of the truck Adam and ride now,1,sit
ride now,1,ride
you don't wanna sit there,1,don't
are you tired Adam,1,are
you're tired aren't you,1,re
wanna ride that,1,wanna
are you the driver or the passenger,1,are
that's where the driver sits,1,s
wanna give this to Ursula,1,wanna
write something,1,write
you wanna come next to Mommy,1,wanna
well come on,1,come
what,0,None
yellow too,0,None
well which one is it,1,is
hm,0,None
tickle ear,1,tickle
no,0,None
no well how can he write,1,can
why don't you give one to Ursula so she can write,1,don't
so she can write,1,can
yes give one to Ursla,1,give
no not that one,0,None
this one,0,None
no you may tear the paper,1,may
wouldn't you like for Ursula to have a pen,1,wouldn't
that's right,1,s
up here,0,None
what is that,1,is
oh that's Cromer's house,1,s
Adam's mouth,0,None
oh you're going to put that in the trash can,1,re
oh you have a pail of doughnuts,1,have
Ursula has some doughnuts,1,has
hi Adam,0,None
you dropped it on whose boots,2,dropped
Ursula's boot,1,s
what happened,2,happened
what,0,None
why did you turn the light on,2,did
why did you cut the light on,2,did
you did,2,did
he doesn't want that tractor up his back,1,doesn't
he's not a road,1,s
don't what,1,don't
don't fight Adam,1,don't
oh who's fighting Adam,1,s
did you say fright,2,did
or did you say fight,2,did
where did you buy the doughnuts,2,did
getting Adam doughnut,0,None
why don't you go get a pencil and write with it,1,don't
if you write with his pen like that it won't write anymore,1,write
it won't write anymore,3,won't
where are you going,1,are
what do you wanna play,1,don't
oh doggie,0,None
well get on the floor with your doggie,1,get
Adam,0,None
well here come here and cut your paper,1,come
cut your paper,1,cut
use the other one scissors,1,use
he means use the other hand for scissors,1,means
Adam what,0,None
what,0,None
keys,0,None
Daddy has Mommy's keys,1,has
not on Mr Cromer's lap,0,None
you play on the floor,1,play
what's the doggie's name,1,s
doggie program,0,None
what kind of program,0,None
you put the doggie down there,1,put
you're going to give Ursula a piece of paper,3,re going to
Adam's what,0,None
Adam home,0,None
Adam's home,0,None
what about Adam's home,0,None
you missed it,2,missed
you're going to tear it,3,re going to
this is gas,1,is
you what,0,None
oh one is Adam's,1,is
where's one for Mommy,1,s
here's one,1,s
no use this finger,1,use
what shall we use the paper for,1,shall
you don't know,1,don't
you don't know what to use then why are you giving us the paper,1,don't
then why are you giving us the paper,1,are
oh giving dollars,0,None
oh that is Ursula's you give it to Ursula,1,is
you give it to Ursula,1,give
you almost fell while you were getting the dollars,2,fell
while you were getting the dollars,2,were
factory,0,None
what about the factory,0,None
what's that man,1,s
why is that man walking,1,is
I don't know,1,don't
if he's walking so slowly it's because it's slippery on the sidewalk probably,1,s
it's because it's slippery on the sidewalk probably,1,s
it's slippery on the sidewalk probably,1,s
no that's plugged in back there,1,s
use these fingers,1,use
what happened to your doughnut,2,happened
you can't eat the doughnuts after they've been on the floor,1,can't
after they've been on the floor,1,ve
won't they be a little dirty,3,won't
no,0,None
rolling tape,0,None
what kind of tape,0,None
Ursula's tape,0,None
that's a flag,1,s
what do you say when you see the flag,1,do
when you see the flag,1,see
you dropped your dollars on the floor,2,dropped
ahhah,0,None
you didn't even know they'd fallen off did you,2,didn't
they'd fallen off did you,2,d
did you,2,did
doughnut get you,1,get
or do you mean you get doughnut,1,do
how can she write if you take all of her pencils,1,can
if you take all of her pencils,1,take
no Adam,0,None
playing the piano,0,None
you play the piano with your fingers,1,play
what are you doing now,1,are
Adam,0,None
stop playing yes,1,stop
stop playing with Mr Cromer's pen,1,stop
oh your finger pushed it,2,pushed
wanna talk,1,wanna
farm puzzle,0,None
why don't you put it over here and pick the pieces up and put them in,1,don't
and pick the pieces up and put them in,1,pick
and put them in,1,put
I don't think so,1,don't
I don't know where it goes but I don't think it goes there,1,don't
where it goes but I don't think it goes there,1,goes
but I don't think it goes there,1,don't
it fits in the puzzle someplace,1,fits
they're all on the floor there,1,re
mhm,0,None
no that's not turned properly,1,s
turn it around,1,turn
no the other way,0,None
I guess you hafta turn it around,1,hafta
show Ursula Sandy's boots,1,show
oh Timmy's boots,0,None
I don't know,1,don't
aren't there some more pieces that go in first,1,aren't
go in first,1,go
what about all those pieces down there on the floor,0,None
oh no don't ride over your puzzle,1,don't
you rode over one piece,2,rode
mhm,0,None
okay,0,None
why don't you park the tricycle and finish the puzzle,1,don't
and finish the puzzle,1,finish
no,0,None
oh no he'll hurt his teeth,3,ll 
wanna buggy,1,wanna
I guess he means ride buggy buggy,1,guess
he means ride buggy buggy,1,means
you're riding on part of the house,1,re
or part of the barn,0,None
no you've got her upside down,1,ve
you don't want her to stand on her head do you,1,don't
well if you want her to stand on her head,1,want
oh you want him to stand on his head too,1,want
well if you turn him like that where does this piece go,1,turn
where does this piece go,1,does
oh you shot him,2,shot
I don't know,1,don't
oh Mommy and Daddy watch the television set when Adam went to sleep yes,1,watch
when Adam went to sleep yes,2,went
nose nose anything goes,1,goes
Twinkle says that,1,says
Twinkles the elephant,0,None
I think he's asking the dog if he wants to climb on the cowboy,1,think
he's asking the dog if he wants to climb on the cowboy,1,s
if he wants to climb on the cowboy,1,wants
pick up all the pieces and put them on the table,1,pick
put them on the table,1,put
there are two pieces under the tricycle,1,are
Adam,0,None
you're going to fall with that tricycle,3,re going to
no not yet,0,None
go pick those pieces up and you may put your cowboy boots on,1,go
you may put your cowboy boots on,1,may
no those two right there,0,None
what are you doing,1,are
now what is that for,1,is
what are you doing Adam,1,are
what did you do,2,did
what did you do with his foot,2,did
oh,0,None
we don't wanna lose the pieces,1,don't
no I think you've seen them all,1,ve
no,0,None
did you ask Ursula if you could go in her bag,2,did
if you could go in her bag,2,could
no she gave you a piece now,2,gave
Cromer's piece,0,None
no give it back to Ursula,1,give
no Adam,0,None
shall I help you take it off,1,shall
on the table,0,None
maybe you should turn it over,1,should
no you can't have any more now until you pick that up off the floor,1,can't
until you pick that up off the floor,1,pick
you've still got some of this,1,ve
what's wrong with this,1,s
no did you ask Ursula,2,did
no don't bother the tape honey,1,don't
you're going to check it,3,re going to
I think perhaps Ursula would know if something's wrong with it,1,think
Ursula would know if something's wrong with it,1,would
if something's wrong with it,1,s
you want it in there,1,want
